text,label
"T cell receptor peptide therapy triggers autoregulation of experimental encephalomyelitis. Encephalitogenic T cells specific for myelin basic protein share common V beta 8 peptide sequences in their T cell receptor (TCR) that can induce autoregulatory T cells and antibodies that prevent clinical signs of experimental autoimmune encephalomyelitis (EAE). It is not known, however, if TCR peptides can treat established disease. To test its therapeutic value, TCR-V beta 8-39-59 peptide was injected into rats with clinical signs of EAE. This treatment reduced disease severity and speeded recovery, apparently by boosting anti-V beta 8 T cells and antibodies raised naturally in response to encephalitogenic V beta 8+ T cells. These results demonstrate that synthetic TCR peptides can be used therapeutically, and implicate the TCR-V beta 8-39-59 sequence as a natural idiotope involved in EAE recovery. Similarly, human TCR peptides may be effective in enhancing natural regulation of autoreactive T cells that share common V genes. ",3
"Small bowel obstruction associated with a leiomyomatous uterus. A case report and review of the literature. A 38-year-old woman developed small bowel obstruction shortly after a cholecystectomy because of a massively enlarged leiomyomatous uterus. Small bowel obstruction is a relatively rare complication from fibroid tumors and results from entrapment of the bowel between serosal pedunculated fibroids (as in this patient), adhesions to infarcted leiomyomas, or from compression of the small bowel by the large mass. Large uterine leiomyomas clearly must be considered in the etiology of intestinal obstruction. ",2
"The Van Nes tibial rotationplasty. A functionally viable reconstructive procedure in children who have a tumor of the distal end of the femur. Twelve patients who had a malignant tumor of the distal end of the femur were treated with a Van Nes tibial rotationplasty. The survival rates were comparable with those for above-the-knee amputees and patients who had an endoprosthetic replacement. The results of functional testing showed that these patients performed as well as those who had endoprosthetic replacement and better than those who had above-the-knee amputation. Rotationplasty is therefore a favorable alternative to amputation or endoprosthetic replacement, either as a primary or as a salvage procedure. ",1
"The association of elevated plasma homocyst(e)ine with progression of symptomatic peripheral arterial disease. Plasma homocyst(e)ine (the sum of free and bound homocysteine, homocystine, and the mixed disulfide homocysteine-cysteine, expressed as homocysteine) levels were determined by high performance liquid chromatography in 214 patients with symptomatic (claudication, rest pain, gangrene, amputation) lower extremity arterial occlusive disease and/or symptomatic (stroke, cerebral transient ischemic attacks) cerebral vascular disease and in 103 control persons. Mean plasma homocyst(e)ine was significantly higher in patients than in controls (14.37 +/- 6.89 nmol/ml vs 10.10 +/- 2.16, p less than 0.05). Thirty-nine percent of patients (83 of 214) had plasma homocyst(e)ine values greater than control mean + 2 standard deviations. Plasma homocyst(e)ine values were contrasted to age, male sex, diabetes, hypertension, smoking, renal failure, and plasma cholesterol. No difference was found in the incidence and/or level of any of these risk factors when patients with normal plasma homocyst(e)ine were compared to those with elevated plasma homocyst(e)ine, both by univariate and multivariate analysis. Patients with elevated plasma homocyst(e)ine were more likely to demonstrate clinical progression of lower extremity disease and of coronary artery disease, but not of cerebral vascular disease than were patients with normal plasma homocyst(e)ine, and the rate of progression was more rapid (p = 0.002). Progression of lower extremity disease as assessed in the vascular laboratory was also more common in patients with elevated plasma homocyst(e)ine (p = 0.01). We conclude that elevated plasma homocyst(e)ine is an independent risk factor for symptomatic lower extremity disease or cerebral vascular disease or both. Symptomatic patients with lower extremity disease and with elevated plasma homocyst(e)ine also appear to have more rapid progression of disease. ",5
"Nasal valve malfunction resulting from resection of cancer. Following cancer resection of the nasal unit, nasal valve malfunction is manifested by the symptoms of nasal stuffiness or difficulty getting air into the nostril. These symptoms occur in cases in which the resection is in the alar crease at the junction with the lateral sidewall of the nose. Wound scar contracture elevates the alar margin and causes the alar and lateral cartilages to move inward forming a visible and palpable shelf on the lateral wall of the nasal vestibule. This displacement of the alar and lateral cartilages and the rigid scar formed between these cartilages render the nasal valve immobile. Since it is easier to prevent nasal valve malfunction than to repair it later, wounds that bridge the alar crease or are located in either the alae or lateral sidewall and come within 1 mm of the alar crease with a total diameter of 1.0 cm should be repaired to prevent nasal valve malfunction. In the process of repairing deep defects, the overlapping region of the lateral crus of the alar cartilage and the lateral cartilage may be stabilized by a conchal cartilage graft. This cartilage graft may be used in combination with reconstruction of the nasal skin with a forehead flap and repair of the nasal lining. In the event that the nasal lining is intact, the cartilage graft may be used with a full-thickness skin graft. ",5
"Early gastric cancer. Twenty-eight-year experience. A retrospective study of early gastric cancer (60 patients) was performed to evaluate its diagnosis and treatment. Ninety-five per cent of patients presented with nonspecific gastrointestinal symptoms and 53.3% had been treated for presumed benign disease for up to 48 months before diagnosis. Fiberoptic endoscopy detected these lesions more accurately than radiologic examination. The disease-free 5-year survival rate after resection was 76.4%. Survival showed no significant correlation with sex, tumor site, macroscopic appearance, extent of gastric resection, or histopathologic type. Tumors larger than 1.5 cm in diameter, invasion of submucosa, or lymph node metastasis resulted in significantly lower survival rates. Three of eight patients with nodal metastasis survived 5 or more years, including one who had second-echelon deposits. A high index of suspicion may permit more frequent detection. Extended lymphadenectomy (R2) is recommended to achieve the highest possible cure rate. ",1
"Glomerular IgA deposits in patients with celiac disease. Glomerular immunopathology was studied in 25 patients with newly diagnosed celiac disease. None had clinical signs of renal disease. Glomeruli were obtained by fine-needle aspiration biopsy. The specimens were processed and studied by indirect immunofluorescence for immunoglobulins and complement. Mesangial IgA was found in 8 of the patients. It occurred occasionally together with slight IgG or IgM, but C3 was not seen in these patients. IgA-class circulating immune complexes (CIC), antireticulin antibodies (ARA), antigliadin antibodies (AGA), and rheumatoid factor (RF) occurred significantly more often in the patients with mesangial IgA than in the 17 patients having no mesangial IgA. The patients with mesangial IgA also had significantly higher mean levels of serum IgA, IgA-ARA and IgA-AGA than those without. The results suggest that glomerular mesangial deposits of IgA occur frequently in untreated celiac disease and that they are in some way associated with circulating IgA-class antibodies and immune complexes. In this situation IgA seems to be deposited without being able to induce clinically overt glomerulonephritis, a circumstance that may be related to the lack of complement in the deposits. ",2
"Treatment of angiomas with sclerosing injection of hydroxypolyethoxydodecan. The authors discuss the indications for hydroxypolyethoxydodecan in the sclerosing treatment of angiomas, with particular reference to cavernous, venous, and evolutive angiomas (ie, immature angiomas that fail to involute by eight to ten months). Moreover, the sclerosing agent may be employed, in connection with embolization and subsequent surgery, in arteriovenous angiomas with a relevant cutaneous-subcutaneous development. The authors have successfully used the ""interstitial"" sclerosing technique, according to Andrews' method. This technique involves interstitial injections to obtain the sclerosis of the thin threads of fibrous tissue stroma between the blood vessels. The sclerosing therapy may cause the complete regression of ""low flow"" angiomas or, at least, a partial reduction that simplifies the ensuing surgical excision. In the case of partial regression of the angioma obtained with the sclerosing therapy, the surgery of the remaining angioma causes a lesser degree of bleeding (especially in areas that do not particularly lend themselves to surgical exploration, ie, the oral cavity); an increased reliability in the radicality of the intervention (due also to the reduced size of the lesion); and better results from an aesthetic-functional point of view. ",1
"Avoiding interpretive pitfalls when assessing arrhythmia suppression after myocardial infarction: insights from the long-term observations of the placebo-treated patients in the Cardiac Arrhythmia Pilot Study (CAPS) The Cardiac Arrhythmia Pilot Study (CAPS) was a 1 year trial that analyzed the safety and effectiveness of arrhythmia suppression in 502 patients surviving acute myocardial infarction who had greater than or equal to 10 ventricular premature depolarizations/h or greater than or equal to 5 runs of ventricular tachycardia on a Holter recording obtained 6 to 60 days after the acute infarction. Because 100 of these patients received placebo in a double-blind fashion for 1 year, a comprehensive objective analysis was performed of spontaneous arrhythmia changes based on real data rather than statistical estimates. In the CAPS placebo group, 19% developed some serious clinical event in 1 year (death, heart failure, proarrhythmia) that could likely be attributable to antiarrhythmic drug toxicity. A significant reduction in the frequency of ventricular premature depolarizations (p = 0.004) occurred in the first few weeks of ""therapy"" with a further significant (p less than 0.04) decrease between 3 to 12 months. After initiation of placebo antiarrhythmic therapy, 27% had ""apparent ventricular premature depolarization suppression"" (greater than or equal to 70% reduction) after one Holter recording evaluation and nearly half (48%) after six Holter recordings to assess suppression were performed. ",4
"Recent advance in treatment of Stanford type A aortic dissection. During the period between November 1986 and November 1988, 13 consecutive patients with Stanford type A aortic dissection (8 acute and 5 chronic) were treated as follows: (1) urgent operation for cases with pericardial tamponade or severe heart failure, (2) initial medical treatment followed by elective operation for acute but stable cases or chronic cases, and (3) routine use of open distal anastomosis or selective cerebral perfusion. One patient died during medical treatment: 5 patients were operated on emergently. The remaining 2 acute and 5 chronic cases were operated on electively. There were no operative deaths, neurological disturbances, or late deaths. It is suggested that acute dissection of the ascending aorta requires immediate surgical intervention, especially when the entry is in the ascending aorta. On the other hand, it is also suggested that one could avoid emergency operations in selected cases with retrograde extension of the aortic dissection. ",4
