text,label
"This is a thinking man's silly movie. If you don't expect Star Wars and enjoy British humor this might just turn into a cult classic for you as it has for my wife and I - from casting the ""voice"" of Cary Grant and Jack Nicholson as martians to the overly simplistic populace of Big bean this is a movie that you can either sleep through or watch carefully and enjoy either way.It's not for everyone, but if you enjoy relaxing easy humor that takes a quick mind to see the joke as it slips by you will enjoy this movie.",pos
Dissapointing action movie with an interesting premise: a young Mafia would-to-be killer (Chandler) must demonstrate to his boss that he is a good man for the service so he goes to California to take some lessons with a very known professional killer (Beluschi). First and most important task: to kill a young woman (Lee) that is a completely strange for all of them. But is she a easy target? The movie goes on and on based upon this principal idea but the result is just bad routine; even the weird twist at the end does not save the movie. Good performance by Chandler. I give this a 4 (four).,neg
"I know that originally, this film was NOT a box office hit, but in light of recent Hollywood releases (most of which have been decidedly formula-ridden, plot less, pointless, ""save-the-blonde-chick-no-matter-what"" drivel), Feast of All Saints, certainly in this sorry context deserves a second opinion. The film--like the book--loses anchoring in some of the historical background, but it depicts a uniquely American dilemma set against the uniquely horrific American institution of human enslavement, and some of its tragic (and funny, and touching) consequences.And worthy of singling out is the youthful Robert Ri'chard, cast as the leading figure, Marcel, whose idealistic enthusiasm is truly universal as he sets out in the beginning of his 'coming of age,' only to be cruelly disappointed at what turns out to become his true education in the ways of the Southern plantation world of Louisiana, at the apex of the antebellum period. When I saw the previews featuring the (dreaded) blond-haired Ri'chard, I expected a buffoon, a fop, a caricature--I was pleasantly surprised.Ossie Davis, Ruby Dee, the late Ben Vereen, Pam Grier, Victoria Rowell and even Jasmine Guy lend vivid imagery and formidable skill as actors in the backdrop tapestry of placage, voodoo, Creole ""aristocracy,"" and Haitian revolt woven into this tale of human passion, hate, love, family, and racial perplexity in a society which is supposedly gone and yet somehow is still with us.",pos
this is the best sci-fi that I have seen in my 29 years of watching sci-fi. I also believe that Dark Angel will become a cult favorite. The action is great but Jessica Alba is the best and most gorgeous star on TV today.,pos
"It's cheesy, it's creepy, it's gross, but that's what makes it so much fun. It's got over the top melodramatic moments that are just plain laughable. This movie is great to make fun of. Rent it for a good laugh.The film centers around three women newscasters, during a time way before cellphones. They go to a small town to cover a festival, but they can't get a room to stay the night. And that's when they meet Ernest Keller. He's creepy in a Psycho kind of way. And he offers to let them stay at his home. But he doesn't tell them the truth about who lives there.Stephen Furst's performance is so amazing as ""The Unseen"", that he really carries this film. Most of the movie is kind of dull, although finding out the truth of Ernest's family is kind of interesting. Just seeing this cast in these scenes makes it worth a look. Barbara Bach and Doug Barr make nice eye candy. I consider the movie an old gem, hard to find and worth a look.",pos
"When a movie of a book seems pointless and incomprehensible, the cause can invariably be found in the book: either it was pointless to start with, or the point is one not easily conveyed to film, or the movie missed the point, which is the most frequent of these results, and the easiest to happen, especially when the point is one not easily defined. The book ""Morvern Callar"" has a point; every reader of the book must have felt this, and felt as if he had gotten it; but I suspect most of them could not state it in words. I'm not sure I can, myself, but perhaps it comes to this, or something like it: Things come, things go, such is life, but we carry on; or at any rate some of us--people like Morvern--do. No doubt a more erudite critic could construct a more adequate definition. But the important fact is that there is a point--possibly the sum of the entire story is the point--and that this would have been the main thing to keep in view, and to carry over, in adapting the story to film. The maker of this film evidently missed the point, and doesn't substitute one of her own; and so the film is about nothing.This is not the usual complaint of a book-lover that his favorite text has been violated. The merit of the book is something I conceded grudgingly: in reading it I found it a bloody nuisance, and an occasion for kicking the author in the pants and getting him in to finish the job properly. The narrative is supposed to be the work of the half-educated Morvern, but that illusion is constantly dispelled by a dozen different types of literary effect, as if the author were poking at her with his pen; there are inconsistencies of style and tone, as if different sections had been composed at different times; and any conclusions I could reach about Morvern had to remain tentative because it was uncertain which implications the author intended and which he did not: for instance, despite Morvern's own self-characterization as a raver, am I wrong that in the end she remains essentially a working-class Scots girl, and beneath her wrapping of music downloads not so different from those of generations past? In any case, despite my irritation at the author, I couldn't deny that his book stuck with me; and what I couldn't get out of my head was his character's attitude, her angle on the world, which was almost as vivid as a Goya portrait. Morvern is the kind of person who's always encountering situations at once rather comic and rather horrible; occasionally she invites them but more often they land on her, like flies, so that much of her life consists of a kind of gauche but graceful slogging-through, unconsciously practical and unconsciously philosophical--and that doesn't begin to describe it idiosyncratically enough. The complex of incidents and of Morvern's responses to them are the substance of the book, and its achievement, in exposing a cross-section of existence it would be difficult to illuminate otherwise; for all my dislike of the book, I can see this.The Morvern just described is not the Morvern of the movie; or if it is, most of her is kept offscreen. An actress who might have been a good fit for the character, had she been the right age at the right time, is Angharad Rees, from the old TV series ""Poldark"". Samantha Morton, then, would seem like good casting: she's rather the same sort of actress, and in one of her earlier movies, ""Jesus' Son"", she played a girl who with a few adjustments could have been turned into this one. Unfortunately, as the film turned out, she doesn't have the character from the book to play. For one thing, the book is one that, if it is to be dramatized, virtually cries out for monologues by the main character to the audience; without her comments, her perspective, her voice, the story loses most of its meaning. It has lost more of it in that the adaptor has expurgated it of its comic and horrible elements: the most memorable incidents from the book are curtailed before they turn grotty, and so Morvern's responses (whether of amusement or distaste, depending on her mood) are missing too, and the incidents no longer have a reason for being in the story. In short, the filmmaker chose for some reason to turn a brisk, edgy serio-comic novel into a genteel art TV film, and chose as her typical image one of Ms. Morton languishing in a artistically shaded melancholy; as if the outing Morvern signs up for were a tour of the Stations of the Cross. This isn't at all what the book, or the Morvern of the book, was about. For another thing, the Morvern of the movie isn't Scottish (the actress said in an interview she hadn't had time to study up the accent), and she ought to be: it's important that she, her family, and her mates are all from a single place. And finally the film is missing the end of the story: Morvern's spending all she has and coming home to icy darkness: it's winter, the dam has frozen, the power has gone out, and the pub is dark. Minus this, and minus all of the rest, what's left is a failed art film, a dead film, about a subject whose strength lay precisely in her refusal, or native inability, ever to give in to being dead.",neg
"I'm not saying that just as a Chris Rock fan, I'm saying this as a person who had low expectations going in to this movie and was proved wrong. The first flaw was it's everything-works-out ending that everybody saw coming. Flaw number two was I found that the chemistry between Regina King and Chris Rock seemed fake. Finally the acting in this movie was sub-par, with the best actor being Regina King and the worst being Mark Addy. but I saw past that flaw and saw a solid comedy. In a heads-up scenario, watch heaven can wait instead, it's better. So for all you Chris Rock fans out there, WATCH THIS MOVIE, you'll enjoy out. He has some good stand-up in this movie.Overall: 7 out of 10",pos
"High school friends Andre Kriegman and Cal Gabriel declare war on their classmates and plan a terrifying assault on their high school. As they begin the deadly countdown to their final act of revenge, the two start a video diary to explain their feelings and chronicle their mission.There is another similar movie like this, called ""Elephant."" Why do I bring this up? To compare the two films, of course. I have to say, even though I liked ""Elephant,"" this is a much better film. What's the difference, you ask? Well, for starters, this is shot differently, much along the lines of ""Cloverfield,"" ""Blair Witch Project,"" and ""Diary of the Dead."" This makes the movie all the better because it's much more painfully realistic.But what won me over was how the movie was willing to show the ""other side of the story."" You get to know these two shooters, unlike ""Elephant."" I actually cared for one of the shooters and could understand their actions and why they did what they did. This movie actually makes you feel sympathetic to these people and that's a good thing because it's not always black and white.To be honest, this is why I almost cried in this movie. The characters are real human beings with logic and reasons behind their actions. You get to understand them. It's not like they want to kill people for attention. Overall, this film is emotionally gripping and very haunting and much better than ""Elephant.""",pos
"In Iran, women are officially banned from men's sporting events. In June 2005, the Iran's national soccer team has an important game against Bahrain in the Azadi Stadium for the qualification of the World Cup. A group of Iranian girls and lovers of soccer dresses like boys and unsuccessfully attempts to enter in the stadium being arrested.Soccer (and Flamengo's team), beach and movies are my greatest passions; therefore I loved this little gem about a group of girls and their passion for soccer. The director Jafar Panahi, from ""The White Balloon"", ""The Mirror"" and ""The Circle"", shot this movie on the day that Iran defeated Bahrain and qualified to the World Cup in Germany. The dramatic and funny adventure of these Iranian girls is one of the most delightful movies I have ever seen. My vote is nine.Title (Brazil): Not Available",pos
"I admit, having come of age in the hippie-dippy age, I am a sucker for these kind of movies. I can enjoy some of the schlock of the hippie genre far more than most ""normal"" people. However, this movie is simply awful in every conceivable way.Every trite perception of the hippie silliness is presented as gospel, cops kill a young long hair when he peacefully lands a plane. This movie is so horrible that it is not even funny to watch as a goof on the excesses of the hippie drone. It is like a left wing version of Dragnet, except without professional actors. The only reason I gave it two stars was because there are some obscurities of interest on the soundtrack, besides, I couldn't find a selection for negative stars.No actors, almost no plot, sheeze, barely even a script...you got it, an ""art"" movie....All this done at root canal drilling slowness, dragging out each meaningless scene just to fill up time.In a bizarre twist of life imitating art, the star ""nonactor"" of the movie joined a commune in real life and robbed a bank in Boston, one of his co-robbers was killed and he was sent to jail where he was killed in a suspicious weightlifting ""accident"".....and just think, he got to leave this behind as a legacy....Oy vey.",neg
