text,label
"At least I was able to enjoy mocking the movie which is surprising since I was barely able to sit through it. In all honesty, my guess is the cover to the DVD case cost more than the entire movie. And saying that it is the same director as The Boogeyman, when a new version of that just came out...nice touch guys, it was misleading enough to rope me in. The only thing that frustrated me more than the insufferable acting of the copycat was his haircut. Usually you only see that kind of hair on a ten year old boy and the character acted like it. The film looks like it was shot by a D+ grad student of some film school excited to use every film technique he ever learned while attending classes....sometimes, less is more buddy. Through out I would get lost by random plot twists that led nowhere or were unexplained. All this makes a bad movie but when the ending doesn't even come close to pulling it together, well, that makes it an exceptionally bad movie. Without a doubt this is the worst movie I have ever seen, and that includes my friends' french final video for senior year of high school, but hey maybe i'm a bit biased, I mean I did get to play an extra. P.S. I don't even think this deserves a star...not even a half. NONE FOR YOU!!",blank
"One of those classics, held up next to ""Deep Throat"" and ""Behind the Green Door.""Sure, it was clever, but the female lead isn't that attractive and sex isn't that hot. But if not for this film, porn would not have blossomed into what it is today.Harry Reems was the Ron Jeremy of his day. Worth a look if you're a Fan.",blank
"Certainly one of the dozen or so worst movies ever released in any form, featuring a bizarrely abominable performance by Rain Joan of Arc Phoenix (River's sister, inevitably), as Bonanza Jellybean plus inconceivably awful voiceover narration by Tom Robbins, the author of the novel, which had/retains its peculiar sweet/loopy charms.",blank
Im still in doubt if this is just a horrible movie or the worse movie i ever saw. Actors are painful and its impossible to get into the text.Don't waist your time into this movie. By submitting this comment you are agreeing to the terms laid out in our Copyright Statement. Your submission must be your own original work. Your comments will normally be posted on the site within 2-3 business days. Comments that do not meet the guidelines will not be posted. Please write in English only. HTML or boards mark-up is not supported though paragraph breaks will be inserted if you leave a blank line between paragraph.By submitting this comment you are agreeing to the terms laid out in our Copyright Statement. Your submission must be your own original work. Your comments will normally be posted on the site within 2-3 business days. Comments that do not meet the guidelines will not be posted. Please write in English only. HTML or boards mark-up is not supported though paragraph breaks will be inserted if you leave a blank line between paragraph.,blank
"The plot sounds vaguely interesting ... a scientist (Bateman) discovers how to transplant animal eyes and optic nerves into other animals, like humans. A young man (Monteith) is blinded saving a coworker at work - the scientist gets a call from a doctor that the young man is a good candidate to be the first human recipient. The recipient starts becoming more and wolf-like, but the effect is nothing more than ""weird eyes"" and running at night with dogs! (for the whole movie) The budget is too low, the dialogue too stilted (I laughed out loud at some of the ridiculous talk), and the acting too inept. Long portions of the movie are nothing more than dreamy looks, eerie music and interspersed clips of wolves in the wild. Way too long even at 90 minutes, boring, and devoid of ideas.The military want to use the eye transplants to give wounded soldiers back their eyesight, and presumably want to militarize the technology. There's a silly subplot about a beautiful Indian girl (Korey) who thinks she can help, using Indian wisdom about the wolves. They make love while music heavy on drums and Indian chanting is heard - crazy, man! The love making takes place immediately after a gruesome murder - who edited this turkey?! A grouchy ""medicine man"" who spouts platitudes seems to do little, except for adding atmosphere.Here's two ridiculous scenes. A worker at the research lab goes into the animal room to discover the monkeys have been let out of their cages. She gets scared, looks left at the monkeys, turns right, turns left, turns right, turns left .. this goes on for a while (who edited this??). RUN OUT OF THE DAMN LAB! It was so stupid I started laughing. Another ridiculous scene - our hero is at home, escapes out a window as the heavily armed military arrive - he leaves the window open, the military guys go to the open window, look out the window, they say ""looks like he was here"", and LEAVE! He went out the open window, guys!! Crazy.Near the end of the movie, military guys are firing machine guns over and over at trees, when obviously nothing is there - easier to place the squibs I guess. They have 6 machine guns which have cut down trees, but decide to fight our hero with 1 knife!!! Shoot the guy!! Who wrote this trash?? There's a pointless confrontation at the end, and believe me I'm not spoiling anything for you - there's not enough plot to spoil.I figure the whole thing was a tax write-off or a rush job to make use of unused budget money left over from some better movie.",blank
"Usually, I don't think Hollywood productions are fit to be called film, so I call them 'movies' instead. But this piece of elephant manure, is not even fit to be called a movie, hence the quotes in the title.Where shall i start? 1. If this isn't the start of geriatric casting, it sure is the epitome of it. Stefanie Powers is supposed to play someone even LESS than half her age, she's supposed to play an 18 year old, and she is FORTY effing TWO!!!! 2. A horrible and stupid mindless portrayal of Paris and France, where we see cliché characters such as: the sympathetic grumpy shop owner, the bitchy queen of models, the fairy god mother ex-queen of models, etc. This film is surpassed only in this respect by the Da Vinci Code, (which reviewers correctly determined was a comedy). 3. It's highly and utterly ridiculous to have no nudity in a film about a time and a place where nudity was so common place, especially if the whole focus is about that4. The horrible accents!!! 5. The Nana Mouskouri elevator-music!!!I could go on, but i think this is enough. And I was able to make these observations after watching this crap for just half an hour, WHILE surfing the internet and talking to my friends about math equations ... I mean ...!!!!!I invite everyone to add to my list. :) :P :D",blank
"There are two points I need to make clear right at the beginning. First of all we all know what this year's Oscar's were REALLY all about this year. It was the Academy's way of showing people that they are no racist,and never have been. They wanted to clear all preconceived notions about themselves. Secondly, it's kinda pointless to make remarks about the show, because really, what difference will it make? But, it's fun to write about it. This is the year I became fed-up with the Oscar's! I will never watch the show again. Every year they do something wrong. Before Crowe wins for ""Gladaitor"" when they real winner should of been Ralph Fiennes for ""Sunshine"". If you haven't seen this movie yet, watch it and you'll agree. ""Eyes Wide Shut"" when released receieved no nominations. And as far as this year goes, well, the bad choices were all over the place! Baz Lurhmann gets no ""Best Director"" nomination! Are you joking!! ""A Beautiful Mind"" is up for ""Best Make-up""???? ""Training Day"" gets nominated?? The movie was awful, and it seemed like Washington didn't even turn in a performance, all he proved was, he knows how to use four letter words! That's what h won the award for! Take away the language and I bet he was almost playing himself! I liked ""Gosford Park"", I really did, but why 7 nominations? And how on Earth could they not give it too Altman! I mean, c'mon, if there just giving the award to people to clear up any bad feelings, what about Altman? The man has been in the public's eye for 32 years now and no Oscar! There were many, many things that bothered me about this year's Oscar's, but, I'll live with it, as long as I never have to watch another show again! The highpoint ( and the ONLY one) of the show was when Woody Allen made his first appearance ever to the award show. That will go down as one of the greatest moments in he history of the show.",blank
"Having read many of the comments here, I'm surprised that no one has recognized this as basically an overlong remake of a Twilight Zone episode from 1960 called ""Mirror Image,"" starring Vera Miles. Rod Serling did a much better job of creating an effective spooky tale in 24 minutes than Sean Ellis did in 88 minutes with this tedious snooze. A short piece can be effective with a mysterious and unexplained ending, but in a feature film, there should be a bit more substance and the story should make sense. Sadly, substance and sense are two things missing from ""The Broken."" Yes, it has some moments, but they are not enough to justify your time. Some further observations: although this is clearly a contemporary story, not one character in the movie has a cellphone! And even though a car accident is the event that gets the story going, there is never any reference to an insurance company, to the person who was driving the other car, or to the police who would have been required to do a report. My advice: skip this bore and watch the original instead!",blank
"I saw this movie way back at the first theatrical release, in a justifiably empty theater. Believe it or not, after decades of watching movies, this one still sticks clearly in my mind as the worst movie of all time; or at least the worst that I would allow myself to watch.The acting is far beneath the standard set by any random group of drunken high-school students yanked off the street and forced to learn their lines in 5 minutes or less.After the first shock of disbelief, we laughed for a while as each scene hit new lows. But after a while, even that dubious pleasure wore off and it just got to be really sad.",blank
"""How She Moves"" springs to life only when its high-energy, talented cast members are kicking up their heels and strutting their stuff for the camera. Otherwise, this stale strive-suffer-and-succeed story is low on energy, low on originality, and low on anything that might make the movie stand out from the dozens of other, likeminded films that have come before it.Rutina Wesley has modest appeal as the academically gifted inner-city youngster who finds that the best way to raise her private school tuition money is by entering step-dance competitions, but both she and her fellow actors are poorly served by uninspired screen writing and undistinguished direction. As noted earlier, the movie achieves some spark when the performers are up on stage dancing, but such moments are far too few and sadly fleeting.",blank
