txt,label
"So there's an old security guard and a guy who dies and then there's KEVIN, the world's biggest wuss. Kevin wants to impress his incredibly insensitive, bratty, and virginal girlfriend AMY. As he returns from work to... a random house... he finds his ""friends,"" the sexually confusing red-shorted KYLE and the truly revolting sluttish DAPHNE. They are soon joined by Daphne's boyfriend, the trigger-happy sex-crazed macho lunkhead NICK. And there's the title creatures, horrid little dogeared puppets who kill people by giving them their heart's desire. Kyle's heart's desire is to mate with a creepy, yucky woman in spandex. Nick's heart's desire is to throw grenades in a grade school cafeteria-- I mean nightclub. Kevin's heart's desire is to beat up a skinny thug with nunchucks. Amy's heart's desire is to be a disgusting slut. Daphne's already a disgusting slut, so she doesn't have a heart's desire. Along the way a truly hideous band sings a truly odd song. The hobgoblins randomly go back to where they came from then blow up. ""Citizen Kane"" cannot hold a candle to this true masterpiece of American cinema.",neg
"I went into a Video Store and looked around to find some Horror Movies, after about 30 minutes I just rushed and picked out a few. I stumbled upon ""Masters of Horror"" which contained ""Pro-Life"" and ""Right to Die"". They seemed OK, same-old cheesy Horror crap, but I was interested for some reason. It said about Pro-Life on the case about being a classic, a return to form for John Carpenter (I loved his ""The Thing"", so I thought this would be good) and all that. So I turned it on thinking it would be something great and interesting, I was very wrong... It started off casual, just a girl running through a Forest, scared of something. A car stops and picks her up (just so being the people she needed to see, amazing?) They take her back to some Clinic and examine her, at the sametime all this is happening her Father appears at the gates and they don't allow him in, he isn't aloud near the area. Most likely from something he would of done in the past, but you don't know of any of this at the moment. He really does not want his Daughter in this place, an Abortion center. He is very strongly against such acts, believing it's sickening and not what ""God"" would want. He ""supports"" what I heard is called ""Pro-Life"". Acting against Abortions and going to extremes to allow the Babies to be born, they are sick. They don't like the Life of an unborn being taken, yet they've killed Humans in the past to allow the Birth? Justice is only a figment of the mind. Anyway, back on track, after the girl is examined they find out shes pregnant, but far ahead than what she should be. She is only a few weeks pregnant, but is months ahead. She keeps telling them they wont understand her, and that she wants an Abortion and all, but finally tells the truth that she was raped by a Demon from Hell, and that her Father wants this baby (but believes ""God"" wants this baby, not who truly does). He gets his 3 Sons (they arm themselves with Pistols and Shotguns), and begin to make they're way into the Clinic (shooting down anyone who won't co-operate). The head of the Clinic, who must of had trouble with them in the past, is well prepared this time. Ends up killing one the Fathers Sons, but in the end gets shot a few times (wearing a bullet proof jacket). The Father then performs what he believes is done to the Women. He cuts a hole, where the Vagina would be if he we're a Female, and sticks some sort of sucking thing up there and sucks out all this blood. Whilst all this is happening, the girl gives birth to some Demonic baby with many legs, and some Demon raises from beneath the Earth (not in the same room) and starts looking for its child. The Father sees this later on, and starts questioning why this happened, he did what he was told to do, and doesn't understand why it's like this. The Demon had killed both of his Sons earlier, and now goes for Father... Whilst the girl kills the baby, and the Demon carries it away (not in the same scene).<br /><br />Yeah, it probably sounds pretty cool, and a thrilling Horror Movie, but it isn't. The acting is horrible and lacks enthusiasm, the script is boring and not even creative, they choose the wrong characters and don't even build on them; just everything put together, all the small parts, don't even add up to something great, a waste of time. I wouldn't classify this as a Horror, though it has elements of Horror, they ultimately fail at what they try to succeed. It felt more like a ""Beginners"" Short-Movie, than by John Carpenter.<br /><br />Sorry for my lack of information, and detailed review, I just didn't have the time to waste to write something exciting. Also sorry if my spelling and details are incorrect, I couldn't really be bothered to research anything.",neg
"REALLY? REALLY???? I know if you make a political war movie you will get noticed but this movie was just garbage. Horrible in every sense. Terribly inaccurate in so many ways. I have an easier time believing the president of the United States suiting up, flying a jet fighter, and shooting down aliens. It is easier to note the few things that were right. My jaw dropped when I saw some one say that this movie was the best in the last 25 years. It was overacted, seemingly pointless plot diversions, and had questionable cinematography at times.<br /><br />X-box, YouTube, ACUPAT utilities did anyone check that these things did not exist in 2004? It's not like you had to do extensive research, it was only five years before this movie came out. I am an Iraq war Veteran and if you spent ONE day with an infantry platoon or an EOD squad you would realize how B.S. this movie is. To compare this to Platoon or Saving Private Ryan is ludicrous. Why don't you just throw Commando and Red Dawn in there too; I think those might be more accurate. <br /><br />If for some reason you can see past the unbelievable plot, the historical and factual discrepancies, then this movie might just be OK. Nothing more. If you keep on hearing ""Oscar buzz"", and have to add your own pompous review, go right ahead. As for me, I am writing the director to see if I can get my 131 minutes back.",neg
"An annoying experience. Improvised dialogue, handheld cameras for no effect, directionless plot, contrived romance, ick! to the whole mess. Ron Silver was the only real actor. Gretta Sacchi was TERRIBLE! Henry Jaglom did better with Eating which suited his style much more.",neg
"There is so much that is wrong with this film, but to sum it up: Terrible acting- so bad it must have been on purpose. poor script - they may have had some good ideas but this was not the best way to present the story. ridiculously bad ending- in some cases the ending manages to save the film-not in this case. if you manage to sit through the entire film you will want to kick yourself at the end because the ending is not even worth waiting for. This is the worst film i have seen in a long time. It was complete torture sitting through this film, i would have appreciated someone warning me in advance. So do yourself a favor. Watch this film only if you have absolutely nothing better to do. Even then you will regret having put yourself through the unspeakable torture.",neg
"Because that's all she does through out this whole movie,is get naked for no good reason.When Tarzan is bitten by a snake,she suddenly removes her clothes.Since when is a boa constrictor poisonous?How did Tarzan get poisoned by the way ? This whole movie is screwed up.They couldn't get the species of animals for this movie right.Whats an Orangutang doing hanging around those chimpanzees?He must have wandered off the set of a much better film.The group of cannibal tribe's men look caucasin.Why?And why was Bo and her dad painted,if they were going to be eaten later?It was probably just a lame excuse to show her breasts and curves again.Her dad while hunting, approaches and acts stupidly around a bull elephant while standing too close to it.Any real African bull elephant that wasn't from the circus,would've stomped this moron's butt.Any smart hunter would've started shooting the minute he saw it.And I can't help but wonder if the camera was on LSD,because it kept showing various scenes that went in slow motion, for no good reason.It didn't make good sense at all.The boa constrictor that Tarzan wrestled with in the water,looks like one of those 12 Ft rubber snakes you can buy at a local Spencer Gifts.Tarzan was strangly speechless in this film,maybe from Bo flashing herself so much.I'm sorry,but this is a rip off of a classic Black and White Tarzan movie,with a similar but better story.Not To mention plotting .There's one scene in that I saw that everyone forgot to mention.*(SPOILERS ALERT)*The scene where he is trying to rescue Jane and her dad,has him standing too close to a running water spout.It made it seem like he's urinating on someone below him.Eww!Also, him and Jane are fooling around on a beach,with perverted monkeys jumping and clapping.She sure did take her dad's death real well.*(END OF SPOILERS)*There should be a Surgeon General's Warning on this film.That seeing Bo naked too much in this movie,will make you go blind.",neg
":Spoilers:<br /><br />I was very disappointed in Love's Abiding Joy. I had been waiting a really long time to see it and I finally got the chance when it re-aired Thursday night on Hallmark. I love the first three ""Love"" movies but this one was nothing like I thought it was going to be. The whole movie was sad and depressing, there were way to many goofs, and the editing was very poor - to many scenes out of context. I also think the death of baby Kathy happened way to soon and Clarks appearance in the movie just didn't seem to fit. It seemed like none of the actors really wanted to be there - they were all lacking emotion. There seemed to be no interaction between Missie and Willie at all.<br /><br />I think the script writers should have went more by the book. It seems like every movie that's been made so far just slips further and further away from Janette Oke's writings. I mean in the movie they never mentioned a thing about the mine and the two boys or Clark getting hurt because of it. And I think Missie and Willies reactions to Kathy's death could have been shown and heard rather than just heard.<br /><br />Out of the four movies that have been made so far I'd have to say that Love's Abiding Joy is my least favorite. I hope with the next four movies that more of the book is followed and if Clarks character is in them I hope he's got a bigger part and I hope his part isn't so bland. I also hope there is more of Scottie and Cookie and maybe even Marty but who knows what the script writers will have in store next.",neg
"Irwin Allen was great. All of his TV shows had a great pilot, or first episode. the rest were basically rip offs of his other shows. A few episodes of Swiss Family Robinson were rip offs of his older TV shows. One episode of Swiss Family is identical to an episode of Land Of The Giants when a member of the party needs an appendix operation. The show was high budget and too expensive to continue. Irwin lost his touch with TV shows after the 60s. The acting is strong with Martin Milner. Child stars got there starts with this show like Willie Ames and Helen Hunt. one bright spot is when Irwin Allen incorporates his disaster scenes like a typhoon and a volcanic eruption dubbing him the "" Master of Disaster """,neg
"Poor Robert Englund makes another flop and to the expense of Tobe Hooper who usually makes pretty good horror movies but he failed pretty bad at this one. Englund plays the well known Marque De Sade who in the 17th century was enprisoned for his obsession of pain and the pleasure of bringing pain upon himself as well as watching others also be in pain. The story is so confusing with the flip flop from one century to another and I became confused as to what was going on and what was the purpose of this movie. All I saw was a young lady that became entrapped by a strange lesbian who desides to keep her to herself and the young lady became fascinated by this Arabian with alot of money and finds out that he's out to have her killed and then Englund steps in from one century to another claiming to be a descendent of the de Sade and tries to kill her because she reminded him of the Madam Momoselle(spelled that wrong) or whoever it was in the picture above De Sades wall. The movie was terrible, I am surprised at Hooper for hireing Englund in this film and the special effects were so fake and laughable, especially the part about the eyes. Englund tries to make a comeback from his once hit move ""Nightmare on Elm St."" by using these pull in and out needles to put out peoples eyes. Terrible, absolutely terrible.",neg
"Crazed Shotgun toting-incest driven-revenge seeking truck drivers & obsessive control disorder ""daddy raped me when I was 12"" handcuff carrying, all latex wearing prostitutes is just a few of the character you will be introduced to in this complete disgrace of a movie that can easily be viewed on any cable TV station (IE: Skinemax) at 4am on Sunday nights. (And yes I know that was an entire sentence, but bare with me people; this is a long-winded review for a short pointless film).<br /><br />Filmed in ""somewhere"" Canada, with almost no budget, the plot to this freak show is trite, the police in it obviously never heard of ""State Jurisdiction"" because they end up chasing both Miya (Hookers) and Trent (idiotic, Anal Retentive, Generic, insecure College Student) all across the U.S. (and I thought only the FBI could do that). The camera is shaky, the sex scenes are mediocre and the acting is so bad it might actually cause unintentional acid flashbacks to movies like ""Ishtar"" and ""Leonard Part 6"".<br /><br />As far as the Skin scenes go (which is the only reason to even rent this movie, don't even think of buying it) there are two of them. The first one is the only one worth watching though which is the Dominatrix Sex scene with Kari Salin and ____(insert unknown actor here, he's obviously done nothing else worth noting) in a seedy, disgusting Motel room (the kind with the busted sink that drips, and the soda machine outside that only has blue tonic water left in it). It's all S&M (riding crops, handcuffs, hot wax, and underwear licking) folks and in the end, he gets left in a motel room, with no money and cops waiting at his door (that's goes to show you guys, don't let a hooker tie you up in a ""middle-of-nowhere"" motel room). Sadly though, Kari shows no skin worth remembering, and that alone can cause deep-seeded traumatic experiences for some gentlemen, so that is definitely a downer towards this flick.<br /><br />As for the ending, *Snicker*Snicker* I know you probably wouldn't mind if I revealed it to you but I won't, you should spend your hard earned money for that one. All in all I give it a 1/5 for action, a 3/5 for Skin (See last paragraph) and a 0/0 for acting, character development or intricate plot twists.<br /><br />- Laughing Man",neg
